Tunnel 1300.33 0 -1254.79  -0.45507
StopSign 1398.4 125 -2184.25  3.14159
TrafficLight 490.929 100 -2965.37 0 0 0  10000 75.194 107522
TrafficLight -416.543 100 -1851.13 0 0 0  10000 -180 107522
Pylon -489.828 0 -2083.54 0 0 0  50 0.7123
Pylon -81.9681 0 -18.7566 0 0 0  50 0.8401
Pylon -81.9681 0 -44.2478 0 0 0  50 0.8002
Pylon -81.9681 0 -76.1118 0 0 0  50 0.85
Pylon -81.9681 0 -114.349 0 0 0  50 0.7507
Pylon -81.9681 0 -146.213 0 0 0  50 0.9172
Pylon -81.9681 0 -197.195 0 0 0  50 0.8434
Pylon -81.9681 0 -248.177 0 0 0  50 0.8074
Pylon -88.3409 0 -292.787 0 0 0  50 0.9886
Pylon -88.3409 0 -337.397 0 0 0  50 0.8392
Pylon -94.7137 0 -382.006 0 0 0  50 0.9115
Pylon -88.3409 0 -432.989 0 0 0  50 0.7435
Pylon -94.7137 0 -464.853 0 0 0  50 0.7843
Pylon -94.7137 0 -515.835 0 0 0  50 0.9481
Pylon -94.7137 0 -554.072 0 0 0  50 0.9883
Pylon -88.3409 0 -611.427 0 0 0  50 0.8473
Pylon -88.3409 0 -643.291 0 0 0  50 0.9985
Pylon -75.5953 0 -694.274 0 0 0  50 0.9826
Pylon -50.1041 0 -738.883 0 0 0  50 0.9481
Pylon -18.2401 0 -751.629 0 0 0  50 0.8308
Pylon 19.9967 0 -770.747 0 0 0  50 0.8173
Pylon 77.352 0 -783.493 0 0 0  50 0.8812
Pylon 115.589 0 -789.866 0 0 0  50 0.9706
Pylon 147.453 0 -796.239 0 0 0  50 0.7459
Pylon 192.062 0 -789.866 0 0 0  50 0.7876
Pylon 211.181 0 -789.866 0 0 0  50 0.8146
Pylon 45.4879 0 -789.866 0 0 0  50 0.8263
Pylon -5.49449 0 -770.747 0 0 0  50 0.9148
Pylon -69.2225 0 -726.138 0 0 0  50 0.9154
Pylon -88.3409 0 -681.528 0 0 0  50 0.9685
Pylon -94.7137 0 -592.309 0 0 0  50 0.8341
Pylon 96.4704 0 -25.1294 0 0 0  50 0.9178
Pylon 96.4704 0 -63.3662 0 0 0  50 0.9313
Pylon 96.4704 0 -107.976 0 0 0  50 0.8614
Pylon 90.0976 0 -139.84 0 0 0  50 0.9607
Pylon 90.0976 0 -178.077 0 0 0  50 0.9736
Pylon 90.0976 0 -216.313 0 0 0  50 0.9001
Pylon 83.7248 0 -260.923 0 0 0  50 0.7897
Pylon 83.7248 0 -292.787 0 0 0  50 0.7105
Pylon 90.0976 0 -324.651 0 0 0  50 0.9682
Pylon 83.7248 0 -369.261 0 0 0  50 0.9109
Pylon 83.7248 0 -413.87 0 0 0  50 0.9433
Pylon 83.7248 0 -445.734 0 0 0  50 0.7966
Pylon 90.0976 0 -490.344 0 0 0  50 0.7999
Pylon 102.843 0 -547.699 0 0 0  50 0.9019
Pylon 134.707 0 -598.682 0 0 0  50 0.8992
Pylon 172.944 0 -624.173 0 0 0  50 0.7423
Pylon 204.808 0 -636.918 0 0 0  50 0.9133
Pylon 121.962 0 -579.563 0 0 0  50 0.7759
Pylon 230.299 0 -649.664 0 0 0  50 0.9604
Pylon 160.198 0 -624.173 0 0 0  50 0.8641
Pylon 663.65 0 -656.037 0 0 0  50 0.8932
Pylon 708.259 0 -662.41 0 0 0  50 0.8986
Pylon 765.615 0 -656.037 0 0 0  50 0.9271
Pylon 803.852 0 -636.918 0 0 0  50 0.7111
Pylon 822.97 0 -617.8 0 0 0  50 0.9577
Pylon 854.834 0 -592.309 0 0 0  50 0.9169
Pylon 918.562 0 -560.445 0 0 0  50 0.9223
Pylon 880.325 0 -573.19 0 0 0  50 0.8587
Pylon 963.172 0 -560.445 0 0 0  50 0.9334
Pylon 1014.15 0 -560.445 0 0 0  50 0.7948
Pylon 1071.51 0 -566.818 0 0 0  50 0.7105
Pylon 663.65 0 -796.239 0 0 0  50 0.757
Pylon 682.768 0 -796.239 0 0 0  50 0.9526
Pylon 727.378 0 -796.239 0 0 0  50 0.7864
Pylon 765.615 0 -789.866 0 0 0  50 0.7318
Pylon 803.852 0 -796.239 0 0 0  50 0.712
Pylon 835.716 0 -802.611 0 0 0  50 0.9826
Pylon 956.799 0 -834.475 0 0 0  50 0.7792
Pylon 1001.41 0 -834.475 0 0 0  50 0.8944
Pylon 1039.65 0 -821.73 0 0 0  50 0.8338
Pylon 1077.88 0 -821.73 0 0 0  50 0.9415
Pylon 1109.75 0 -802.611 0 0 0  50 0.967
Pylon 975.917 0 -713.392 0 0 0  50 0.9187
Pylon 956.799 0 -700.647 0 0 0  50 0.811
Pylon 975.917 0 -694.274 0 0 0  50 0.805
Pylon 1001.41 0 -707.019 0 0 0  50 0.7018
Pylon 1205.34 0 -968.304 0 0 0  50 0.7303
Pylon 1109.75 0 -585.936 0 0 0  50 0.8179
Pylon 1046.02 0 -566.818 0 0 0  50 0.8644
Pylon 1090.63 0 -585.936 0 0 0  50 0.8887
Pylon 1141.61 0 -611.427 0 0 0  50 0.8869
Pylon 1173.47 0 -643.291 0 0 0  50 0.7252
Pylon 1198.97 0 -649.664 0 0 0  50 0.9862
Pylon 1249.95 0 -656.037 0 0 0  50 0.9268
Pylon 1320.05 0 -668.783 0 0 0  50 0.952
Pylon 1345.54 0 -694.274 0 0 0  50 0.9898
Pylon 1288.18 0 -662.41 0 0 0  50 0.8128
Pylon 1154.36 0 -630.546 0 0 0  50 0.9793
Pylon 1218.08 0 -649.664 0 0 0  50 0.7924
Pylon 1390.15 0 -981.05 0 0 0  50 0.9832
Pylon 1396.52 0 -917.322 0 0 0  50 0.8317
Pylon 1402.9 0 -885.458 0 0 0  50 0.8878
Pylon 1402.9 0 -847.221 0 0 0  50 0.7969
Pylon 1402.9 0 -815.357 0 0 0  50 0.8611
Pylon 1409.27 0 -764.375 0 0 0  50 0.8614
Pylon 1390.15 0 -732.511 0 0 0  50 0.7354
Pylon 1377.4 0 -713.392 0 0 0  50 0.7246
Pylon 1358.29 0 -687.901 0 0 0  50 0.9787
Pylon 1339.17 0 -675.155 0 0 0  50 0.8623
Pylon 1205.34 0 -917.322 0 0 0  50 0.9499
Pylon 1198.97 0 -1535.48 0 0 0  50 0.7345
Pylon 1205.34 0 -1580.09 0 0 0  50 0.8917
Pylon 1211.71 0 -1637.45 0 0 0  50 0.8974
Pylon 1211.71 0 -1701.18 0 0 0  50 0.9112
Pylon 1224.46 0 -1758.53 0 0 0  50 0.979
Pylon 1211.71 0 -1809.51 0 0 0  50 0.9931
Pylon 1205.34 0 -1879.62 0 0 0  50 0.7918
Pylon 1198.97 0 -1949.72 0 0 0  50 0.9019
Pylon 1192.59 0 -2026.19 0 0 0  50 0.8158
Pylon 1179.85 0 -2121.78 0 0 0  50 0.7063
Pylon 1173.47 0 -2211 0 0 0  50 0.9235
Pylon 1179.85 0 -2255.61 0 0 0  50 0.9772
Pylon 1179.85 0 -2166.39 0 0 0  50 0.7216
Pylon 1179.85 0 -2077.17 0 0 0  50 0.781
Pylon 1192.59 0 -1987.95 0 0 0  50 0.9487
Pylon 1205.34 0 -1917.85 0 0 0  50 0.9331
Pylon 1402.9 0 -1529.11 0 0 0  50 0.8719
Pylon 1402.9 0 -1560.97 0 0 0  50 0.7291
Pylon 1402.9 0 -1618.33 0 0 0  50 0.8536
Pylon 1402.9 0 -1669.31 0 0 0  50 0.9958
Pylon 1409.27 0 -1733.04 0 0 0  50 0.787
Pylon 1396.52 0 -1777.65 0 0 0  50 0.7483
Pylon 1396.52 0 -1828.63 0 0 0  50 0.8908
Pylon 1396.52 0 -1898.73 0 0 0  50 0.8065
Pylon 1390.15 0 -1968.83 0 0 0  50 0.9301
Pylon 1390.15 0 -2038.94 0 0 0  50 0.8965
Pylon 1383.78 0 -2096.29 0 0 0  50 0.8722
Pylon 1383.78 0 -2160.02 0 0 0  50 0.7093
Pylon 1383.78 0 -2191.88 0 0 0  50 0.7156
Pylon 1377.4 0 -2242.86 0 0 0  50 0.805
Pylon 1377.4 0 -2287.47 0 0 0  50 0.745
Pylon 1364.66 0 -2376.69 0 0 0  50 0.9823
Pylon 931.308 0 -2383.07 0 0 0  50 0.9172
Pylon 988.663 0 -2376.69 0 0 0  50 0.9898
Pylon 1071.51 0 -2383.07 0 0 0  50 0.829
Pylon 1160.73 0 -2389.44 0 0 0  50 0.7321
Pylon 1396.52 0 -2408.56 0 0 0  50 0.7573
Pylon 1422.01 0 -2408.56 0 0 0  50 0.7021
Pylon 1447.5 0 -2408.56 0 0 0  50 0.8011
Pylon 1492.11 0 -2408.56 0 0 0  50 0.8371
Pylon 1466.62 0 -2408.56 0 0 0  50 0.7861
Pylon 1549.47 0 -2402.18 0 0 0  50 0.9259
Pylon 1517.61 0 -2414.93 0 0 0  50 0.8149
Pylon 1594.08 0 -2414.93 0 0 0  50 0.9835
Pylon 1632.32 0 -2414.93 0 0 0  50 0.9727
Pylon 1651.43 0 -2414.93 0 0 0  50 0.7627
Pylon 1135.24 0 -2395.81 0 0 0  50 0.9274
Pylon 1109.75 0 -2395.81 0 0 0  50 0.7663
Pylon 1046.02 0 -2389.44 0 0 0  50 0.8764
Pylon 1026.9 0 -2389.44 0 0 0  50 0.8266
Pylon 969.544 0 -2389.44 0 0 0  50 0.9838
